"Date", "Followers", "Gains", "Total_Following", "Followed", "Unfollowed"
08/15/2016,27492,+156,3289,1104,0
08/16/2016,27540,+48,3382,94,0
08/20/2016,27828,+288,4329,948,0
08/21/2016,27901,+73,5278,953,0
08/22/2016,27988,+87,5602,325,0
08/23/2016,28049,+61,5896,292,0
08/25/2016,28181,+132,4972,0,930
08/26/2016,28205,+24,3926,0,1047
08/27/2016,28240,+35,2908,0,1023
08/28/2016,28235,-5,1826,0,1084
08/29/2016,28272,+37,924,0,911
08/30/2016,28279,+7,44,0,1004
08/31/2016,28309,+30,0,0,94
09/02/2016,28370,+61,195,196,0
09/03/2016,28444,+74,808,614,0
09/04/2016,28594,+150,1996,1186,0
09/05/2016,28764,+170,2223,229,0
09/06/2016,28942,+178,3117,897,0
09/07/2016,29027,+85,3579,464,0
