"Date", "Followers", "Gains", "Total_Following", "Followed", "Unfollowed"
07/31/2016,26981,+389,2916,1220,0
08/01/2016,27431,+450,3960,1079,0
08/02/2016,27880,+449,5094,1147,0
08/03/2016,28339,+459,6313,1246,0
08/04/2016,28737,+398,7390,1102,0
08/06/2016,29235,+498,6125,0,1317
08/07/2016,29472,+237,4938,0,1220
08/08/2016,29628,+156,3728,0,1246
08/09/2016,29779,+151,2413,0,1356
08/10/2016,29961,+182,1695,0,748
08/11/2016,30126,+165,461,0,1256
08/12/2016,30259,+133,143,0,525
08/13/2016,30443,+184,0,0,322
08/14/2016,30704,+261,785,828,0
08/15/2016,30984,+280,1698,942,0
08/16/2016,31285,+301,2697,1040,0
08/17/2016,31583,+298,3514,830,0
08/18/2016,31909,+326,4668,1208,0
08/19/2016,32179,+270,5384,726,0
08/21/2016,32630,+451,6044,652,0
08/22/2016,32891,+261,6335,295,0
08/23/2016,33213,+322,7410,1074,0
08/24/2016,33443,+230,7500,93,0
08/25/2016,33724,+281,6539,0,1011
08/26/2016,33880,+156,5175,0,1400
08/27/2016,34024,+144,3848,0,1367
08/28/2016,34182,+158,3160,0,738
08/29/2016,34356,+174,2695,0,474
08/30/2016,34318,-38,2447,0,251
09/02/2016,34249,-69,2220,0,312
09/03/2016,34217,-32,1528,0,726
09/04/2016,34211,-6,534,0,1295
09/05/2016,34207,-4,282,0,282
09/06/2016,34237,+30,753,500,17
09/07/2016,34291,+54,1054,298,0
